"method","experiment","metric","ccc","ccc_lower_ci","ccc_upper_ci"
"Elgendi_et_al","sitting","HRV_MeanNN","0.999755993266899","0.999447873643309","0.999892172932452"
"Elgendi_et_al","sitting","HRV_SDNN","0.950109446612248","0.891618298916136","0.977411197784456"
"Elgendi_et_al","sitting","HRV_RMSSD","0.712260213912504","0.477210325833895","0.852203441252469"
"Elgendi_et_al","sitting","HRV_SDSD","0.712545979359796","0.477633936278428","0.852370845237256"
"Elgendi_et_al","sitting","HRV_CVSD","0.626232998926677","0.364236272019986","0.796376632289917"
"Elgendi_et_al","sitting","HRV_CVNN","0.928812255229686","0.848120763625432","0.967389840599399"
"Elgendi_et_al","sitting","HRV_TINN","0.442148079836638","0.139066680356673","0.669491904236934"
"Elgendi_et_al","sitting","HRV_HTI","0.864281916312768","0.720192161721471","0.936893359317568"
"Elgendi_et_al","sitting","HRV_SDRMSSD","0.814512522382129","0.643836186047004","0.907978062793968"
"Elgendi_et_al","sitting","HRV_pNN20","0.891744693738368","0.776585812037484","0.949240856799951"
"Elgendi_et_al","sitting","HRV_pNN50","0.665418521378239","0.402187860307433","0.82703968578164"
"Elgendi_et_al","sitting","HRV_IQRNN","0.985772754726795","0.968684815582614","0.993566689274117"
"Elgendi_et_al","sitting","HRV_LF","0.882705537308374","0.752852590636636","0.946418390835407"
"Elgendi_et_al","sitting","HRV_HF","0.414628053125223","0.146574444206818","0.625954607205045"
"Elgendi_et_al","sitting","HRV_LFHF","0.908770075537312","0.805108714486636","0.958560423157429"
"Elgendi_et_al","sitting","HRV_LFn","0.79720227668819","0.59743809282503","0.903806359144449"
"Elgendi_et_al","sitting","HRV_HFn","0.873838043405052","0.736292526759104","0.942037021946049"
"Elgendi_et_al","sitting","HRV_LnHF","0.799493123243823","0.610421815458027","0.902366818935115"
"Elgendi_et_al","sitting","HRV_SD1","0.712545979385293","0.477633936327816","0.852370845248087"
"Elgendi_et_al","sitting","HRV_SD2","0.978785362268396","0.952797996969096","0.990534567164291"
"Elgendi_et_al","sitting","HRV_SD1SD2","0.444132115545417","0.163678809392694","0.658164637630407"
"Elgendi_et_al","sitting","HRV_SampEn","0.807298314159672","0.617606304419774","0.908229307250261"
"Elgendi_et_al","sitting","HRV_TP","0.599491808659001","0.323128776399071","0.781639239473221"
"Elgendi_et_al","maths","HRV_MeanNN","0.999853642363812","0.999667014259634","0.999935674611075"
"Elgendi_et_al","maths","HRV_SDNN","0.819286109785606","0.653348844411822","0.910110018905128"
"Elgendi_et_al","maths","HRV_RMSSD","0.4546862611254","0.250961457369528","0.619840234743823"
"Elgendi_et_al","maths","HRV_SDSD","0.454815869235994","0.251106789157802","0.619945950578702"
"Elgendi_et_al","maths","HRV_CVSD","0.379518386799269","0.174212865444837","0.553203366900888"
"Elgendi_et_al","maths","HRV_CVNN","0.813175726067846","0.634935567298102","0.909223246598758"
"Elgendi_et_al","maths","HRV_TINN","0.48720437140024","0.243358212585303","0.673125032091681"
"Elgendi_et_al","maths","HRV_HTI","0.91258973200606","0.810279942404906","0.960918316911222"
"Elgendi_et_al","maths","HRV_SDRMSSD","0.541984078524201","0.261569584821108","0.738025432540237"
"Elgendi_et_al","maths","HRV_pNN20","0.97336111830092","0.942096040418308","0.98785031651911"
"Elgendi_et_al","maths","HRV_pNN50","0.820190706379014","0.664628584855475","0.907600582045689"
"Elgendi_et_al","maths","HRV_IQRNN","0.961582033261479","0.914093910495349","0.983051584387569"
"Elgendi_et_al","maths","HRV_LF","0.894939827541449","0.776352349557568","0.952334476249578"
"Elgendi_et_al","maths","HRV_HF","0.566373146128891","0.382232312909276","0.707251178532733"
"Elgendi_et_al","maths","HRV_LFHF","0.909175289954542","0.807335258774719","0.958422413178156"
"Elgendi_et_al","maths","HRV_LFn","0.719472575845941","0.485961637095209","0.857107556279659"
"Elgendi_et_al","maths","HRV_HFn","0.809859017055441","0.623227138244816","0.909214521347711"
"Elgendi_et_al","maths","HRV_LnHF","0.885184033126783","0.76823952143048","0.944956175257104"
"Elgendi_et_al","maths","HRV_SD1","0.454815869295974","0.251106789214622","0.619945950634483"
"Elgendi_et_al","maths","HRV_SD2","0.967860748628229","0.929117036231668","0.985585878779752"
"Elgendi_et_al","maths","HRV_SD1SD2","0.488048826407837","0.250693727001219","0.670052749016045"
"Elgendi_et_al","maths","HRV_SampEn","0.814312244186408","0.626924178608815","0.912633595789938"
"Elgendi_et_al","maths","HRV_TP","0.772965086241507","0.589073391967571","0.880740366839129"
"Elgendi_et_al","walking","HRV_MeanNN","0.998426214266078","0.996462072319302","0.999300310882835"
"Elgendi_et_al","walking","HRV_SDNN","0.677455019554279","0.420878452456932","0.83366416942851"
"Elgendi_et_al","walking","HRV_RMSSD","0.244802431821718","0.00552012997657185","0.457569269769353"
"Elgendi_et_al","walking","HRV_SDSD","0.244820637358694","0.00557688307532765","0.457555020567866"
"Elgendi_et_al","walking","HRV_CVSD","0.256359421868796","0.00837062016034374","0.47464163889641"
"Elgendi_et_al","walking","HRV_CVNN","0.608416692957402","0.323497642669187","0.792180283059941"
"Elgendi_et_al","walking","HRV_TINN","0.114929761515845","-0.128638375506418","0.345420789226119"
"Elgendi_et_al","walking","HRV_HTI","0.612736306632205","0.343550620957732","0.788883711722587"
"Elgendi_et_al","walking","HRV_SDRMSSD","0.577768330424545","0.290389373421722","0.76954909224048"
"Elgendi_et_al","walking","HRV_pNN20","0.439474991393844","0.13429425043463","0.66851283305687"
"Elgendi_et_al","walking","HRV_pNN50","0.0937265921810136","-0.0934828962613183","0.274534743832878"
"Elgendi_et_al","walking","HRV_IQRNN","0.859894246280695","0.712392425165478","0.93463613664452"
"Elgendi_et_al","walking","HRV_LF","0.937493620870937","0.866151589876639","0.971392823562252"
"Elgendi_et_al","walking","HRV_HF","0.370832871509951","0.0219002684245669","0.639231443700154"
"Elgendi_et_al","walking","HRV_LFHF","0.353715860724991","0.0272950314245383","0.611971681021437"
"Elgendi_et_al","walking","HRV_LFn","0.320374970551366","0.00373003413248797","0.578629399175109"
"Elgendi_et_al","walking","HRV_HFn","0.503703369353939","0.176638055202141","0.730594892215665"
"Elgendi_et_al","walking","HRV_LnHF","0.589140226103263","0.31127166506565","0.7742063801408"
"Elgendi_et_al","walking","HRV_SD1","0.244820637434966","0.00557688311813531","0.457555020662318"
"Elgendi_et_al","walking","HRV_SD2","0.850538514768076","0.69450456197147","0.93016164133202"
"Elgendi_et_al","walking","HRV_SD1SD2","0.2950278634042","0.0653184505718539","0.495042352526669"
"Elgendi_et_al","walking","HRV_SampEn","0.719379546410142","0.487997513874644","0.856294882057814"
"Elgendi_et_al","walking","HRV_TP","0.626623892738202","0.353469824942199","0.801313716017754"
"Elgendi_et_al","hand_bike","HRV_MeanNN","0.995377572766294","0.990088820511912","0.997847221308676"
