,sensitivity,JF,method,experiment,subject_idx
0,99.28571428571429,100.0,Elgendi_et_al,sitting,0
1,99.28571428571429,100.0,Matched_filter,sitting,0
2,100.0,100.0,Wavelet_transform,sitting,0
3,98.57142857142858,100.0,Engzee,sitting,0
4,100.0,100.0,Christov,sitting,0
5,98.57142857142858,71.42857142857143,Hamilton,sitting,0
6,100.0,71.42857142857143,Pan_Tompkins,sitting,0
7,93.57142857142857,95.09433962264151,WQRS,sitting,0
8,99.30555555555556,100.0,Elgendi_et_al,maths,0
9,97.22222222222221,100.0,Matched_filter,maths,0
10,98.61111111111111,71.42857142857143,Wavelet_transform,maths,0
11,99.30555555555556,100.0,Engzee,maths,0
12,99.30555555555556,100.0,Christov,maths,0
13,99.30555555555556,71.42857142857143,Hamilton,maths,0
14,99.30555555555556,71.42857142857143,Pan_Tompkins,maths,0
15,91.66666666666666,98.08429118773945,WQRS,maths,0
16,99.39393939393939,100.0,Elgendi_et_al,walking,0
17,98.7878787878788,100.0,Matched_filter,walking,0
18,99.39393939393939,100.0,Wavelet_transform,walking,0
19,98.7878787878788,100.0,Engzee,walking,0
20,99.39393939393939,100.0,Christov,walking,0
21,99.39393939393939,71.42857142857143,Hamilton,walking,0
22,99.39393939393939,71.42857142857143,Pan_Tompkins,walking,0
23,92.72727272727272,98.99665551839465,WQRS,walking,0
24,99.43181818181817,100.0,Elgendi_et_al,hand_bike,0
25,98.29545454545455,100.0,Matched_filter,hand_bike,0
26,99.43181818181817,55.55555555555556,Wavelet_transform,hand_bike,0
27,98.86363636363636,100.0,Engzee,hand_bike,0
28,99.43181818181817,100.0,Christov,hand_bike,0
29,99.43181818181817,71.42857142857143,Hamilton,hand_bike,0
30,99.43181818181817,71.42857142857143,Pan_Tompkins,hand_bike,0
31,93.18181818181817,98.75776397515527,WQRS,hand_bike,0
32,99.2094861660079,100.0,Elgendi_et_al,jogging,0
33,99.2094861660079,100.0,Matched_filter,jogging,0
34,100.0,55.55555555555556,Wavelet_transform,jogging,0
35,99.2094861660079,100.0,Engzee,jogging,0
36,100.0,71.42857142857143,Christov,jogging,0
37,100.0,71.42857142857143,Hamilton,jogging,0
38,100.0,33.33333333333333,Pan_Tompkins,jogging,0
39,94.46640316205533,70.82579867389994,WQRS,jogging,0
40,98.90710382513662,100.0,Elgendi_et_al,sitting,1
41,98.36065573770492,100.0,Matched_filter,sitting,1
42,100.0,100.0,Wavelet_transform,sitting,1
43,98.90710382513662,68.83910386965377,Engzee,sitting,1
44,100.0,74.44933920704845,Christov,sitting,1
45,100.0,71.42857142857143,Hamilton,sitting,1
46,100.0,55.55555555555556,Pan_Tompkins,sitting,1
47,98.36065573770492,56.40854472630173,WQRS,sitting,1
48,99.57446808510639,71.26660187884679,Elgendi_et_al,maths,1
49,100.0,100.0,Matched_filter,maths,1
50,99.57446808510639,55.55555555555556,Wavelet_transform,maths,1
51,98.72340425531915,99.54545454545455,Engzee,maths,1
52,100.0,37.149100689191464,Christov,maths,1
53,99.14893617021276,55.55555555555556,Hamilton,maths,1
54,99.14893617021276,55.55555555555556,Pan_Tompkins,maths,1
55,88.51063829787233,53.44270444941586,WQRS,maths,1
56,100.0,100.0,Elgendi_et_al,walking,1
57,99.51923076923077,100.0,Matched_filter,walking,1
58,99.51923076923077,71.42857142857143,Wavelet_transform,walking,1
59,98.5576923076923,100.0,Engzee,walking,1
60,99.51923076923077,47.701008114089014,Christov,walking,1
61,99.03846153846155,71.42857142857143,Hamilton,walking,1
62,99.51923076923077,45.45454545454545,Pan_Tompkins,walking,1
63,98.5576923076923,70.51516258677384,WQRS,walking,1
64,98.9795918367347,100.0,Elgendi_et_al,hand_bike,1
65,100.0,100.0,Matched_filter,hand_bike,1
66,100.0,71.23287671232877,Wavelet_transform,hand_bike,1
67,95.91836734693877,84.25925925925925,Engzee,hand_bike,1
68,99.48979591836735,51.689860834990064,Christov,hand_bike,1
69,97.95918367346938,55.4025099479645,Hamilton,hand_bike,1
70,100.0,71.23287671232877,Pan_Tompkins,hand_bike,1
