,sensitivity,JF,method,experiment,subject_idx
0,99.28571428571429,100.0,Elgendi_et_al,sitting,0
1,99.28571428571429,71.42857142857143,Matched_filter,sitting,0
2,99.28571428571429,100.0,Wavelet_transform,sitting,0
3,99.28571428571429,100.0,Engzee,sitting,0
4,99.28571428571429,100.0,Christov,sitting,0
5,97.14285714285714,100.0,Hamilton,sitting,0
6,97.85714285714285,71.42857142857143,Pan_Tompkins,sitting,0
7,99.28571428571429,100.0,WQRS,sitting,0
8,95.1048951048951,100.0,Elgendi_et_al,maths,0
9,96.5034965034965,45.27904527904528,Matched_filter,maths,0
10,100.0,45.45454545454546,Wavelet_transform,maths,0
11,97.9020979020979,99.61089494163424,Engzee,maths,0
12,99.3006993006993,100.0,Christov,maths,0
13,95.1048951048951,71.15278543849972,Hamilton,maths,0
14,99.3006993006993,71.42857142857143,Pan_Tompkins,maths,0
15,99.3006993006993,100.0,WQRS,maths,0
16,98.7878787878788,71.42857142857143,Elgendi_et_al,walking,0
17,94.54545454545455,44.42483083259782,Matched_filter,walking,0
18,98.7878787878788,45.45454545454545,Wavelet_transform,walking,0
19,98.7878787878788,99.33774834437085,Engzee,walking,0
20,100.0,71.42857142857143,Christov,walking,0
21,97.57575757575758,70.26523964634714,Hamilton,walking,0
22,93.93939393939394,43.57864357864358,Pan_Tompkins,walking,0
23,98.7878787878788,70.95864661654136,WQRS,walking,0
24,96.02272727272727,99.38650306748467,Elgendi_et_al,hand_bike,0
25,86.93181818181817,68.87755102040816,Matched_filter,hand_bike,0
26,89.20454545454545,32.04747774480712,Wavelet_transform,hand_bike,0
27,84.0909090909091,89.28571428571429,Engzee,hand_bike,0
28,98.86363636363636,71.42857142857143,Christov,hand_bike,0
29,88.06818181818183,45.03753127606338,Hamilton,hand_bike,0
30,92.61363636363636,37.992495309568476,Pan_Tompkins,hand_bike,0
31,96.02272727272727,81.81818181818183,WQRS,hand_bike,0
32,94.0711462450593,70.06369426751593,Elgendi_et_al,jogging,0
33,84.58498023715416,54.75372279495991,Matched_filter,jogging,0
34,96.04743083003953,45.45454545454545,Wavelet_transform,jogging,0
35,85.7707509881423,92.40506329113924,Engzee,jogging,0
36,94.0711462450593,70.52821128451382,Christov,jogging,0
37,91.699604743083,54.97805497805498,Hamilton,jogging,0
38,94.46640316205533,45.35965078762573,Pan_Tompkins,jogging,0
39,95.65217391304348,54.86399262332873,WQRS,jogging,0
40,98.90710382513662,100.0,Elgendi_et_al,sitting,1
41,97.81420765027322,100.0,Matched_filter,sitting,1
42,100.0,100.0,Wavelet_transform,sitting,1
43,98.90710382513662,100.0,Engzee,sitting,1
44,100.0,100.0,Christov,sitting,1
45,100.0,100.0,Hamilton,sitting,1
46,100.0,100.0,Pan_Tompkins,sitting,1
47,94.53551912568307,100.0,WQRS,sitting,1
48,98.72881355932203,100.0,Elgendi_et_al,maths,1
49,98.72881355932203,100.0,Matched_filter,maths,1
50,99.57627118644068,71.42857142857143,Wavelet_transform,maths,1
51,99.15254237288136,100.0,Engzee,maths,1
52,100.0,100.0,Christov,maths,1
53,99.57627118644068,100.0,Hamilton,maths,1
54,99.57627118644068,100.0,Pan_Tompkins,maths,1
55,97.45762711864407,100.0,WQRS,maths,1
56,100.0,100.0,Elgendi_et_al,walking,1
57,99.51923076923077,100.0,Matched_filter,walking,1
58,99.51923076923077,71.42857142857143,Wavelet_transform,walking,1
59,99.03846153846155,99.74160206718346,Engzee,walking,1
60,99.51923076923077,99.74293059125964,Christov,walking,1
61,99.51923076923077,71.42857142857143,Hamilton,walking,1
62,98.5576923076923,55.55555555555556,Pan_Tompkins,walking,1
63,99.51923076923077,99.74293059125964,WQRS,walking,1
64,99.48979591836735,99.72602739726028,Elgendi_et_al,hand_bike,1
65,100.0,99.72602739726028,Matched_filter,hand_bike,1
66,98.9795918367347,99.72602739726028,Wavelet_transform,hand_bike,1
67,98.9795918367347,99.72602739726028,Engzee,hand_bike,1
68,99.48979591836735,99.72602739726028,Christov,hand_bike,1
69,99.48979591836735,99.72602739726028,Hamilton,hand_bike,1
70,98.9795918367347,71.23287671232877,Pan_Tompkins,hand_bike,1
71,98.46938775510205,99.72602739726028,WQRS,hand_bike,1
